apoiar	V	0-1	apoiar un novo proxecto .	non apoia aos seus fillos naturais .	F
apoiar	V	1-3	eu apoiei a kennedy en 1960 .	o meu garaxe apoia o patio deles .	F
apoiar	V	2-1	non podo apoiar este plano .	olivier apoiou a gielgud no segundo acto .	F
glacial	A	1-4	depósito glacial .	un aperto de man glacial .	F
valor	N	3-1	intentou estimar o valor dos produtos a prezos normais .	ten valores anticuados .	F
posguerra	A	3-2	a repoboación de posguerra .	reasentamento de posguerra .	T
cumio	N	1-1	no cumio da súa carreira .	o cumio da perfección .	T
cumio	N	1-5	o cumio da súa ambición .	o verán estaba no seu cumio .	T
ruptura	N	2-1	houbo unha ruptura polos membros descontentos .	unha ruptura da familia e do barrio .	T
anormal	A	1-2	poderes anormais de concentración.	un interese anormal pola comida.	T
aire	N	3-2	estaba exposta ao aire .	esvaeceuse no aire fino .	F
levar	V	2-1	este crime leva unha pena de cinco anos de prisión .	isto lévame ao punto principal .	F
cor	N	5-7	a situación pronto cambiou de cor .	cada sabor de quarks vén en tres cores .	F
responder	V	2-4	o cancro responde á terapia agresiva .	o debuxo do sospeitoso responde á descrición que deu a vítima .	F
responder	V	2-0	o reo respondeu a todas as acusacións da acusación .	responde a unha pregunta .	F
estándar	N	5-4	a distancia estaba marcada polos estándares de cada milla .	as escolas cumpren cos estándares federais .	F
comezar	V	0-3	comezar un novo emprego .	o número un comeza a secuencia .	F
xogar	V	2-0	el xogou $ 20 no novo cabalo .	xogar a un peixe enganchado .	F
final	N	1-1	o final conseguiu manterse no pase .	o final da cidade .	F
ir	V	3-2	a miña familia vai primeiro .	como vai iso ?	F
traballo	N	3-0	fixo un excelente traballo como ofelia .	traballo é igual a forza a distancia .	F
excitar	V	0-0	excitar ao público .	excitar os átomos .	F
matar	V	2-2	este home matou varias persoas cando tentou roubar un banco .	o tabaco mata .	F
verdade	N	4-8	por fin soubo a verdade .	volveuse cara á relixión na súa procura de verdades eternas .	F
brillar	V	3-2	os seus ollos brillaban .	que estrela brilla máis que o sol ?	F
desenvolver	V	0-2	desenvolver a melodía e cambiar a clave .	por favor , desenvolva este rolo de filme para min .	F
desenvolver	V	4-1	o clima perfecto aquí desenvolve o gran .	spassky desenvolveuse rapidamente .	F
fin	N	0-1	fin do período de garantía .	o fin xustifica os medios .	F
morrer	V	5-3	quen cre en min nunca morrerá .	todos os días morren mártires pola súa fe .	F
terra	N	4-0	era o inferno na terra .	terra industrializada .	F
destruír	V	3-2	o equipo local destruíu os visitantes .	o lume destruíu a casa .	F
xogar	V	1-0	imos xogar como se eu fose un idiota .	xogar a auga dunha cafetería .	F
amor	N	2-2	foi un amor de 40 .	o seu amor deixounas indiferentes ao seu entorno .	F
artigo	N	2-1	escribiu moitos artigos científicos .	un artigo de roupa .	F
corpo	N	6-2	sentía coma se todo o seu corpo estivese en chamas .	todo o corpo saíu do auditorio .	F
efecto	N	5-1	deixou algúns dos seus efectos persoais na casa .	o efecto magnético era maior cando a barra era lonxitudinal .	F
dirixir	V	0-0	dirixe a túa ira cara aos demais , non cara a ti mesmo .	dirixiu unha orquestra; barenboim dirixiu a sinfonía de chicago durante anos .	F
converter	V	0-2	converter centímetros en polgadas .	o loito convértese en electra .	F
número	N	3-4	ela prefería o número de nailon negro .	foi un dos mellores números que algunha vez fixo .	F
fonte	N	4-1	pasaba horas buscando a fonte daquela cita .	unha fonte de calor .	F
velocidade	N	5-3	o proxecto avanzou con gran velocidade .	viaxaban a unha velocidade de 55 quilómetros por hora .	F
satisfacción	N	0-0	satisfacción da súa demanda de mellores servizos .	satisfacción plena e definitiva da reclamación .	F
levar	V	2-1	o paseo levaba ao verde .	podes levar o viño ?	F
problema	N	6-1	ela e o seu marido teñen problemas .	tiñan problemas laborais .	F
cortar	V	0-2	cortar unha escena cinematográfica .	o wayne cortou .	F
matrimonio	N	1-2	o matrimonio entre música e danza .	o seu matrimonio celebrouse na capela .	F
económico	A	7-1	aspectos da vida social , política e económica .	uso económico do aceite de calefacción doméstica .	F
dar	V	1-1	el deu tres meses de vida ao paciente .	ela deulle primeiros auxilios .	F
conexión	N	2-2	fixo unha conexión cos guerrilleiros .	había unha conexión a través de internet .	F
avión	N	1-2	o avión fixo unha aterraxe suave .	vivía nun avión do mundo .	F
anel	N	1-1	o anel distintivo da campá da igrexa .	tiña aneis en cada dedo .	F
tramo	N	1-1	había tramos de aburrimento .	un tramo de autopista .	F
caer	V	2-2	os pagamentos caen o día 1 do mes .	os prisioneiros caeron para traballar inmediatamente .	F
romper	V	2-0	os pecadillos romperon finalmente o seu matrimonio .	rompe o prato .	F
núcleo	N	1-4	cada núcleo ten tres cables que pasan a través del , proporcionando os medios para seleccionar e detectar o contido de cada bit .	o balón ten un núcleo de titanio .	F
actuar	V	1-3	ela actúa nesta obra .	os pais fundadores actuaron con certos principios morais .	F
dar	V	1-2	ela deulle un ollo negro .	o que dá ?	F
man	N	3-6	estendeu a súa man .	seguía tratando de ver a miña man .	F
soar	V	4-0	os liberais gústalles facer soar a súa oposición á pena de morte .	soaron as campás .	F
cortar	V	0-0	cortar a corda .	cortar un record .	F
estado	N	1-1	o estado actual do coñecemento .	o estado rebaixou o seu imposto sobre a renda .	F
estado	N	2-1	estaba nun estado no que non se podía razoar con el .	o estado elixiu un novo presidente .	F
caer	V	5-3	choiva , neve e neve caeron .	o mercado inmobiliario caeu .	F
caso	N	2-1	en tal caso , queda excluída a primeira posibilidade .	os casos que estudamos foron extraídos de dúas comunidades diferentes .	F
contacto	N	5-3	os seus dedos entraron en contacto co interruptor .	usou os seus contactos comerciais para facerlle unha presentación ó gobernador .	F
caer	V	1-3	deixouse caer no sofá .	tenda ata que caia .	F
pedir	V	4-0	o deán está a pedir o seu demandante favorito .	pedir axuda a alguén .	F
aparición	N	5-5	o xurado fixo unha breve aparición no primeiro período .	tratei de describir a súa aparición á policía .	F
comunidade	N	2-10	compartían unha comunidade de posesións .	os predicadores e os contrabandistas decatáronse de que tiñan unha comunidade de intereses .	F
corpo	N	0-1	corpo diplomático .	o corpo da mensaxe é curto .	F
respirar	V	3-0	cada criatura que respira .	respirando o espírito cristián .	F
conmemorar	V	2-2	o presidente conmemorou os heroes da batalla .	os cidadáns conmemoran o aniversario da revolución cunha marcha e un desfile .	F
estrutural	A	1-1	desemprego estrutural nunha sociedade tecnolóxica .	detalles estruturais dunha casa como vigas e joístas e teitos; non elementos ornamentais .	F
pagar	V	1-0	ela págalle polo traballo que está a facer ?	paga a pena atravesar o problema .	F
reescribir	V	2-0	o alumnado reescribiu a súa tese .	reescribir un xogo para o seu uso nas escolas .	F
saudar	V	9-3	cando os oficiais aparecen , os soldados teñen que saudar .	un cheiro terrible saudou o noso nariz .	F
caso	N	3-1	onte ocorreu outro caso .	un caso típico era a ama de casa suburbana descrita por un conselleiro matrimonial .	F
carta	N	1-2	gañou cartas en tres deportes .	recolleu as cartas e intercambiounas cos outros rapaces .	F
esqueleto	N	3-4	debe haber un esqueleto nalgún lugar do armario desa familia .	o edificio ten un esqueleto de aceiro .	F
compoñente	N	0-1	compoñentes para coches .	o compoñente animal do plancto .	F
xogar	V	0-0	xogaban na primeira base .	xogar seguro .	F
envelenar	V	0-3	envelenar a mente de alguén .	o marido dela envelenou a bebida para a matar .	F
alérxico	A	1-1	nenos alérxicos .	reaccións alérxicas .	F
dar	V	3-1	este material non dá .	podo darche as miñas chaves mentres vou á piscina ?	F
traxe	N	3-2	levaba o seu traxe nacional .	todos os traxes se preocupan é a liña de fondo .	F
lembrar	V	10-1	despois do bombardeo , moitas persoas perderon a capacidade de lembrar .	el lembrouse dela no seu testamento .	F
